Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Shape.FSD1,Shape.FSD2,Shape.FSD3,Shape.FSD4,Shape.FSD5,Shape.FSD6,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Nucleus.Gradient.Mag.Mean,Nucleus.Gradient.Mag.Std,Nucleus.Gradient.Mag.Skewness,Nucleus.Gradient.Mag.Kurtosis,Nucleus.Gradient.Mag.HistEntropy,Nucleus.Gradient.Mag.HistEnergy,Nucleus.Gradient.Canny.Sum,Nucleus.Gradient.Canny.Mean,Nucleus.Haralick.ASM.Mean,Nucleus.Haralick.ASM.Range,Nucleus.Haralick.Contrast.Mean,Nucleus.Haralick.Contrast.Range,Nucleus.Haralick.Correlation.Mean,Nucleus.Haralick.Correlation.Range,Nucleus.Haralick.SumOfSquares.Mean,Nucleus.Haralick.SumOfSquares.Range,Nucleus.Haralick.IDM.Mean,Nucleus.Haralick.IDM.Range,Nucleus.Haralick.SumAverage.Mean,Nucleus.Haralick.SumAverage.Range,Nucleus.Haralick.SumVariance.Mean,Nucleus.Haralick.SumVariance.Range,Nucleus.Haralick.SumEntropy.Mean,Nucleus.Haralick.SumEntropy.Range,Nucleus.Haralick.Entropy.Mean,Nucleus.Haralick.Entropy.Range,Nucleus.Haralick.DifferenceVariance.Mean,Nucleus.Haralick.DifferenceVariance.Range,Nucleus.Haralick.DifferenceEntropy.Mean,Nucleus.Haralick.DifferenceEntropy.Range,Nucleus.Haralick.IMC1.Mean,Nucleus.Haralick.IMC1.Range,Nucleus.Haralick.IMC2.Mean,Nucleus.Haralick.IMC2.Range
0,131.0,126.0,368.0,372.0,242.845203861559,238.0254955325049,245.33347208971915,234.1837139636059,-0.6771366678768189,38948.0,40390.0,277.4409675799561,187.5413942189442,799.7371567773473,0.7652449577206394,0.7369303864038086,222.68842311252985,0.6680388322870571,1.078164247260352,0.6759686424640815,0.9642980935875216,0.17995992258474072,0.004499641686261655,0.0008551662715312575,3.330977244741188e-05,1.890640085371089e-09,2.408811783231885e-07,5.294449056917878e-09,3.4271000915936947,1.6448805444007415,5.022749807180885,0.10943371928899973,-0.05973337715770937,-0.1392060435020328,-0.05490434099444004,0.257021,0.0013026,0.0075999,0.0401838,0.0460239,0.2781557,0.027450980618596077,0.10196078568696976,0.05252271890640259,0.05098039284348488,0.0015423260629177094,0.007158583030104637,0.00784313678741455,0.003921568393707275,0.6128010372216929,0.7708462397224118,0.30875392705952315,1.3380578220603943,0.003379564033821225,0.004082529339939356,5.941950807169731,43.36856422403647,0.4393420265968884,0.7936237672856304,0.0,0.0,0.29314841081473675,0.01396358250266716,0.12541646996755595,0.038880965604613266,0.9180973206129154,0.02558193451808244,0.765758362406355,0.0018142977537036753,0.9429938894849602,0.015161825963567965,2.2174455631523826,0.009027538153266956,2.9376169796578635,0.045977507029475895,1.8817600322822419,0.04697196334066178,2.0240721979335,0.09111070028508994,0.024076790438554974,0.001399146090800496,0.5302255855001836,0.10165953491982471,-0.6861390395485774,0.059154117222399716,0.9377738552594119,0.01190322148822709
1,131.0,122.0,366.0,372.0,246.30633991652482,245.78872385571384,248.59460383130823,245.01005100305176,0.300553829339875,42887.0,43294.0,246.5495685324554,222.6856462654426,788.5067093990477,0.8668116621029708,0.4292022249450461,233.67803567099952,0.7299914893617021,1.0883671937391413,0.9032084200793425,0.9905991592368457,0.16085233694971343,0.00026630145843918644,3.133751973328108e-05,9.941792397755498e-08,1.4553308747968465e-13,1.6062821874200394e-09,-9.804894032822509e-14,1.8423838032927704,0.025943459021312176,0.03653835258154046,0.0023057742019354705,-2.0933438548010306e-05,-0.00030670003646866064,3.1160791307659177e-06,0.4317755,0.0028413,0.0076915,0.0215009,0.0512395,0.2038825,0.05882352963089943,0.19607843458652496,0.08781015127897263,0.08627451211214066,0.0015356391668319702,0.009078561328351498,0.011764705181121826,0.003921568393707275,0.5166537637377862,0.9134905701371738,0.4105137978566175,1.060952756217376,0.0050666132010519505,0.006587085779756308,6.7653235050731695,52.76194837284451,0.43397212672915064,0.7905406069254145,441.0,0.010282836290717468,0.3434033109986828,0.013828462375664763,0.19765183377560802,0.05209938694554636,0.941377050807664,0.015807047230231852,1.6864413067367297,0.010420715571026307,0.9318676829856283,0.015686149519568926,4.08634970597236,0.01721485755499419,6.5481133931713105,0.09378224922964051,1.8338082797988646,0.04518938390260141,1.963264737116265,0.07421881730773716,0.023196288569506382,0.0013892594990686478,0.6098197284217071,0.09813330550745147,-0.6342512211211622,0.05315021677095666,0.9156732264251466,0.013706817261596393
2,147.0,160.0,353.0,339.0,245.095585143658,248.60231254379818,243.80080818227793,244.70323200444116,1.2899214912064112,28540.0,28803.0,207.62214542753034,175.8934984271805,639.4701294725885,0.8770478882571278,0.5313046830895679,190.62595994969192,0.7739870911753539,1.0234615305387076,0.847180815249669,0.9908690067006909,0.16215285139471597,0.0007101030379223185,7.291576964608806e-05,4.670263158466232e-07,8.895709718211577e-13,2.1462875283057323e-09,-2.57608471005723e-12,1.855344605170076,0.06619030185074978,0.09965076751375243,0.008252150115609761,-0.00017133819601103885,-0.0008927473424616036,-0.00016322514004759415,0.4416024,0.0008403,0.0015925,0.0732221,0.0929541,0.1147337,0.04313725605607033,0.1568627506494522,0.08576295524835587,0.08627451211214066,-0.00051155686378479,0.013136581517755985,0.0156862735748291,0.00784313678741455,0.20999518216615082,-0.050655111002436914,0.24580830504304557,1.553098602327272,0.005518727470189333,0.006531501188874245,6.150543994683748,47.00283945762032,0.25993467842742546,0.9051420669253347,376.0,0.01317449194113525,0.2724032720592521,0.01733169147596403,0.2003260745104297,0.06262768707851962,0.931800349041591,0.021960733604440175,1.4696048119836378,0.014002005374399218,0.9269336587748982,0.019776824277301208,4.120798333612388,0.02035851819710377,5.678093173424122,0.1186357085761145,2.099858674622076,0.07308773357016474,2.244522738210731,0.11038996418744018,0.022752319467285467,0.0016935103605323944,0.6483196563014756,0.12353541053323214,-0.6199690481079867,0.06967487563987373,0.9308728169990655,0.016454584839716402
3,173.0,155.0,326.0,346.0,251.48402732896315,254.4978303019112,251.18799162014122,252.99404341163137,-0.2631965282046605,21662.0,21940.0,188.84530654909506,147.39472222159898,566.2569260369921,0.8489485315863732,0.6251494307664678,166.0750282795493,0.7412654416042158,1.020511839282522,0.7805050859618798,0.9873290793072015,0.16557726071116474,0.001617048606030125,0.00013094013885828266,2.4133758788101743e-06,3.1604423021674646e-11,5.890646421157793e-08,-2.9012252350157437e-11,1.9148036495319882,0.2130589751120688,0.1600638253258137,0.00023443741466942078,2.719079734045231e-07,-0.00010627752712704096,-1.4101315886920787e-06,0.4293037,0.0023688,0.0017487,0.0357404,0.1184422,0.1381525,0.05882352963089943,0.15294118225574493,0.08685998618602753,0.08627451211214066,0.0005854740738868713,0.010649715550243855,0.0156862735748291,0.00784313678741455,1.0371655431559665,3.2196202985969204,0.28897673586268163,1.4861878299274776,0.005101660266518593,0.0076771811582148075,6.144020861459069,41.41535940771198,0.2891719402973406,0.893056862118322,331.0,0.015280214199981535,0.3056216651070522,0.016802884708668364,0.21762035957952383,0.0855101678939067,0.9328355741600804,0.02702169780856767,1.6211212646673008,0.01580676421420346,0.932136057397519,0.01941574401129842,4.053806523551432,0.025888032509529424,6.266864699089674,0.14873722475073237,1.980674047412304,0.07147317230105932,2.107517000629329,0.1061942277316863,0.02332953082020838,0.0016362800943849863,0.6180158073244146,0.12606176834786742,-0.6377293245177529,0.0707185165304437,0.9279749152237867,0.0165498764309453
4,153.0,112.0,348.0,394.0,249.41883004499826,253.58599119814073,252.84472491668933,243.90669940742566,-0.27098913655976664,40446.0,40858.0,290.127227607678,178.57395744100378,790.080302527855,0.8142222620262414,0.7881351387629428,226.93048853417292,0.7355155482815058,1.0075390751139304,0.6155022364273885,0.989916295462333,0.1793478750609746,0.006527781286807418,6.392617838010002e-05,2.5936488905232492e-06,-3.10060596286974e-11,-2.041223168286161e-07,-1.2408752966491884e-11,3.531644706217516,2.180075204069165,0.7855807877651226,0.4288704792968018,0.23895729271146676,0.5665046101378557,-0.06976871729332687,0.4623941,0.0003877,0.0033484,0.0356818,0.1030728,0.1361559,0.019607843831181526,0.11764705926179886,0.04831016808748245,0.0470588244497776,0.0012513436377048492,0.00949111394584179,0.011764705181121826,0.00784313678741455,0.4423012038258545,1.8029193379888895,0.2891737605841238,1.400130015567092,0.0032398393377661705,0.0036308132112026215,6.0717080199644515,49.881615864128165,0.4275572129893764,0.8015084937985715,0.0,0.0,0.2779771942088463,0.013397380435378248,0.10559282689748177,0.030602410085692783,0.9160821033178231,0.024661934373170324,0.6292975269466681,0.0027167026247008064,0.9519255751483322,0.012864138563226768,2.1985251738736977,0.010841674367509935,2.4115972808891906,0.04146922058449665,1.935858016379103,0.057558021073171206,2.060184775959738,0.09536246402460646,0.024946248290139843,0.0012628952488883682,0.47141714509889887,0.09152489503403705,-0.7094932934453839,0.060803733413275496,0.9469362386490465,0.010617882351476426
5,109.0,142.0,386.0,356.0,247.1395508599043,245.96408774340267,253.23044493239414,244.61749477162834,-1.2808922069149702,42214.0,42973.0,282.26558788944016,192.78094692159885,805.7787873376899,0.8170238034572691,0.7304397386471475,231.83730101398731,0.7121360369783056,0.984478812505866,0.6829771505731995,0.9823377469573918,0.17298519981901678,0.0039611047927034255,0.00010357282674736519,3.178017393385934e-06,-3.3386881147122405e-11,-1.1608292941009373e-07,-4.700772932545667e-11,1.232568498442578,0.16078097616028955,0.032042074870638336,0.004640528112933605,5.6416330240497766e-05,0.0008639850889771352,-4.382800860849449e-06,0.0026691,0.0062659,0.0091566,0.0085575,0.1853213,0.3023667,0.06666667014360428,0.27450981736183167,0.1394616961479187,0.13725490868091583,0.0022067874670028687,0.02462098002433777,0.035294122993946075,0.019607841968536377,0.5194568002617216,0.1231837655486494,0.23894302020085953,1.5737190626828395,0.00800576526671648,0.010733066126704216,6.972703790685807,57.929183648331275,0.2863424744003809,0.8899867125979867,511.0,0.012104988866252902,0.2099386562459063,0.014040948091322086,0.31224598192212044,0.12240016885357685,0.9634962540096825,0.01449366996593493,4.278394190220288,0.02274568134601651,0.9197052329535305,0.021970045338912336,6.136184861932052,0.026009257130572117,16.801330778959034,0.21338289423761836,2.587389111934798,0.08502636418221687,2.7470651755003583,0.13056915859736629,0.022132514023270017,0.001785958999356664,0.6828777299533761,0.13218714939378295,-0.6639240938868578,0.06257903341889182,0.9671842465719421,0.008547706089981788
6,177.0,160.0,323.0,342.0,258.27124107759613,247.77453373244302,257.4219674319015,241.49386063385919,0.10730902283440726,21715.0,21961.0,187.00751443302246,153.6520339997967,575.2619766708755,0.8245905611618568,0.5700130852135796,166.27807045405615,0.8172136083094987,1.0185528003375384,0.8216356142994876,0.9887983243021721,0.16860683285370648,0.0010695864705818252,0.0005436464742018658,1.2268972090043138e-05,-7.075421065996589e-10,-2.8101920629849874e-07,-7.095077669479918e-10,2.0772405842416655,0.19826718128693263,0.973173321203205,0.08255382760927447,0.021706404285842598,0.017451165875037044,-0.008738097286437974,0.51567,0.0003273,0.0021303,0.0052834,0.1197866,0.1282644,0.03529411926865578,0.13725490868091583,0.08129990845918655,0.0784313753247261,0.0028685331344604492,0.015497119165956974,0.023529410362243652,0.011764705181121826,0.2893017322698193,-0.5610517936068109,0.1852661620412934,1.8147150418068034,0.0056546526029706,0.007268020883202553,6.026046630100837,43.8378539058619,0.3686310921253368,0.8518701010712267,379.0,0.017453373244301174,0.27054018211051517,0.01607851873667826,0.22303372774621233,0.08589344212771666,0.907129976110387,0.03718029926027844,1.2022557122032334,0.01895225304345427,0.9306905262604767,0.019095621087513726,4.079696753350607,0.025852234616561276,4.585989121066728,0.1617024543015262,2.1157410462709625,0.08877006572617896,2.2743400288141578,0.11973568137326573,0.0231847879932894,0.0016135813402762857,0.6358062296759343,0.12988463621191182,-0.6239853067546925,0.07616712362730538,0.9340248064291937,0.017468772883229122
7,137.0,101.0,358.0,393.0,243.17249515972895,246.13211923201033,246.03719286186163,246.86359883586985,-0.24305507973145526,49584.0,50063.0,295.32021574399226,214.81407999646785,855.6366517139589,0.8510844658933701,0.686220320628151,251.26143672706385,0.7683629827062542,0.9787417994352089,0.7273937527618708,0.9904320556099315,0.16809746943546183,0.0026798095015657204,5.6579466514659004e-05,1.889230378786641e-06,1.8043275866241665e-11,8.217770905602608e-08,7.480437529835964e-12,1.895594695146151,0.2536596128818968,0.07641267195079043,0.005265657959257535,-0.0001037401566166499,-0.0019693027964595255,1.9858512216666165e-05,0.4594153,0.0006809,0.0071573,0.0351847,0.1516358,0.0913976,0.05098039284348488,0.14901961386203766,0.08667004108428955,0.08627451211214066,0.00039552897214889526,0.010892248712480068,0.0156862735748291,0.00784313678741455,0.544746902167829,0.5195091252584074,0.2511298488744197,1.5264815207126112,0.005017354153096676,0.006044268142431974,6.87782163821395,57.49825518624629,0.24987536032813304,0.9058533699313427,497.0,0.010023394643433365,0.29103531535083194,0.015438423546832503,0.20350189800023827,0.0670258990162294,0.932501425590771,0.02272964028363489,1.5081699434581373,0.01159535959395086,0.9217902044501078,0.018364270359814805,4.17218490729081,0.01688484182440586,5.829177875832311,0.11340733739203301,2.0132049708179864,0.05674987391159081,2.1670070075725727,0.09476348742975249,0.022239477282984248,0.0015112810011289196,0.6687933560332705,0.11261635766922728,-0.6042861147469947,0.06285239399856546,0.9200408108754203,0.016465850515410496
8,147.0,140.0,356.0,363.0,254.52578498343544,246.483831246885,251.79057787868112,245.23337057758906,0.7997610856571645,34109.0,34691.0,234.43437651518823,186.5274585883976,712.967604155647,0.8432168130705258,0.6057580337083702,208.3960835317489,0.7318428562233141,1.0485832482536548,0.7956489204402712,0.9832233144043123,0.16445800540090483,0.0013655385709452402,3.401964552231555e-05,2.0931877174366622e-07,-9.895404935888117e-14,6.429241907964904e-11,-5.49734387847896e-13,2.0275837164702146,0.21229088676377492,0.057095138881252526,0.004455354859370565,-6.724337348076756e-05,0.001990903862500418,-2.2973930786036e-05,0.3019885,0.0025101,0.0052612,0.0112703,0.0343844,0.3025786,0.05098039284348488,0.12156862765550613,0.08163874596357346,0.08235294371843338,-0.0007141977548599243,0.009281976148486137,0.011764705181121826,0.00784313678741455,0.16541908179107426,-0.178480536356997,0.20474166027540913,1.7163940468661232,0.005170359741896391,0.006463885772973299,6.4163597547866695,48.90661775903715,0.35724295375494985,0.8460912270031012,416.0,0.012196194552757337,0.25649205628779265,0.01697468386387263,0.20261625003703715,0.0626382507430418,0.9304128450168232,0.021949860164835355,1.456412107969753,0.009118729931513414,0.9252330365680935,0.01972362029326924,3.7114606896623945,0.01668766289960555,5.623032181841973,0.09911317046909218,2.016800955703407,0.06363495346370884,2.1595889953221112,0.09982730329904488,0.022585549551990273,0.001681616706325391,0.6539367102874654,0.11977581932482351,-0.6282095809877595,0.06445835767693797,0.9280271627262392,0.015418376452882465
9,103.0,134.0,408.0,371.0,252.37755742437554,262.1836862773225,251.97977303209703,256.8761590548695,1.233973288682991,55769.0,58368.0,311.42752222821036,240.40829915780438,976.541197284454,0.734888721252846,0.635676142467046,266.47194255743943,0.7715155288095732,0.9954026829348932,0.771955854889524,0.9554721765350878,0.1734647069890428,0.0019290608675935658,0.0005820722385081,2.4682219778783658e-05,2.84667367091528e-09,7.631041264984972e-07,8.055413462137398e-10,2.6826588597982273,0.26978680922918724,2.0619032448857344,0.09663995762644251,0.028244348375110674,0.01856695055852127,0.03260709952314639,0.4350186,0.001136,0.0052101,0.0287088,0.0731922,0.1832846,0.027450980618596077,0.10980392247438431,0.06034408509731293,0.062745101749897,-0.002401016652584076,0.010431166738271713,0.011764708906412125,0.00784313678741455,-0.02360370422030337,0.16380785691075062,0.2130556672061543,1.707813233775695,0.0036514063831418753,0.003838094649836421,6.121128369917123,51.4778126578035,0.40100977779093033,0.8145950254763937,304.0,0.005451057038856713,0.43239326610767037,0.008447617623634829,0.07490920787858156,0.02361323030976241,0.9494850017443022,0.016262103552348806,0.7418037669788237,0.005243155662117971,0.9682436775867803,0.008928697853908263,2.8849940843276047,0.011261794612013709,2.8923058600367133,0.044585852958233474,1.6168415608947,0.04638078554228442,1.7044710126313467,0.07258518888093923,0.026694948466356935,0.0009224126889868581,0.3535930397837769,0.07592872781108995,-0.747714833746822,0.05587610157788725,0.9323434432048476,0.01086848302103327
